Timestamp,Which language did you start your GF career with?,Your gender,Do you wear glasses?,Choose a movie,How bitter beer do you prefer?,How strong beer do you prefer?,Do you like fruity beers?,What kind of beer do you prefer?,Any comments? :)
12/3/2018 13:42:43,Java,Female,No,The Lion King,1,10,1,Wheat beer,i don't like beer
12/3/2018 13:42:47,Java,Male,Yes,Die Hard,10,10,1,Lager/Pils,
12/3/2018 13:43:02,Java,Female,Yes,Love actually,7,7,3,Dark/Stout/Porter,
12/3/2018 13:43:04,Javascript,Male,Yes,Die Hard,6,5,2,Lager/Pils,This is the best survey i've ever had the pleasure to complete. Thanks guys!
12/3/2018 13:43:15,Other,Female,No,Love actually,2,5,4,Wheat beer,
12/3/2018 13:43:18,Javascript,Male,No,Star Wars,10,6,1,Lager/Pils,
12/3/2018 13:43:18,Java,Male,Yes,Star Wars,5,5,1,Ale,
12/3/2018 13:43:19,Java,Male,Yes,Star Wars,6,8,8,Ale,I LIKE IPA
12/3/2018 13:43:49,Javascript,Female,No,Star Wars,4,4,8,Wheat beer,
12/3/2018 13:43:52,Java,Female,Yes,Star Wars,8,7,5,Wheat beer,"Mark, buy me a beer!!"
12/3/2018 13:44:22,Java,Male,No,Die Hard,6,8,2,Dark/Stout/Porter,
12/3/2018 13:44:30,Java,Male,Yes,The Lion King,7,7,7,Dark/Stout/Porter,yes
12/3/2018 13:44:34,Java,Female,Yes,The Lion King,1,10,5,Dark/Stout/Porter,think about people who don't like beer at all :o
12/3/2018 13:45:02,Javascript,Female,Yes,The Lion King,4,5,8,Wheat beer,
12/3/2018 13:45:05,Java,Male,No,Love actually,4,7,2,Wheat beer,Good luck!
12/3/2018 13:45:09,Javascript,Male,No,Star Wars,2,7,10,Wheat beer,
12/3/2018 13:45:12,Java,Male,No,Star Wars,8,7,1,Lager/Pils,I prefer more than one kind! :)
12/3/2018 13:45:21,Java,Male,No,Star Wars,7,8,1,Lager/Pils,is that all?
12/3/2018 13:45:38,Javascript,Female,No,Die Hard,2,8,2,Wheat beer,dark stout porter is close second
12/3/2018 13:45:51,Javascript,Male,No,Star Wars,1,1,1,Lager/Pils,
12/3/2018 13:46:03,Java,Male,No,Die Hard,1,5,10,Lager/Pils,
12/3/2018 13:46:31,Javascript,Female,Yes,Love actually,6,7,6,Wheat beer,Friday :)
12/3/2018 13:47:30,Other,Male,No,Star Wars,7,9,3,Dark/Stout/Porter,
12/3/2018 13:47:32,Javascript,Male,Yes,Star Wars,4,8,7,Wheat beer,
12/3/2018 13:48:18,Java,Male,No,Star Wars,5,8,5,Lager/Pils,
12/3/2018 13:48:21,Java,Male,Yes,The Lion King,1,10,10,Dark/Stout/Porter,Tequila Argus 4ever!
12/3/2018 13:49:07,Other,Male,No,The Lion King,5,5,5,Ale,
12/3/2018 13:49:27,Javascript,Female,Yes,Star Wars,4,5,9,Wheat beer,
12/3/2018 13:49:31,Java,Female,No,The Lion King,3,7,10,Wheat beer,"What the fuck is ""girly?"" Kikérem magamnak ezt a minősítést. I don't like beer very much, by the way. If I do drink beer it's either wheat beer or some fruit-flavoured one. But in all honesty I prefer spirits. :P"
12/3/2018 13:50:55,Java,Male,No,Star Wars,9,6,7,Ale,
12/3/2018 13:51:57,Java,Female,Yes,Die Hard,4,8,7,Ale,
12/3/2018 13:53:33,Java,Male,No,Star Wars,7,6,3,Ale,
12/3/2018 13:54:43,Java,Female,No,Star Wars,8,5,9,Lager/Pils,
12/3/2018 13:56:16,Java,Female,Yes,The Lion King,5,6,8,Dark/Stout/Porter,Miért nincs többszörös választás az utolsó kérdésnél? + mi ez a szexista hozzáállás h fruity==girly? Ilyen szuggesztív kérdésekkel nem lesz túl releváns a felmérés...
12/3/2018 13:56:49,Java,Female,No,The Lion King,4,5,8,Wheat beer,
12/3/2018 13:56:52,Javascript,Male,Yes,Die Hard,6,5,1,Lager/Pils,
12/3/2018 13:57:46,Other,Female,No,Star Wars,6,6,8,Wheat beer,
